PID,POS,X,Y,AREA
1,1,-65.05030621,45.29196751,SPA1A
1,2,-65.01768837,45.06675164,SPA1A
1,3,-65.00771517,45.00011006,SPA1A
1,4,-65.53273281,44.80639497,SPA1A
1,5,-65.59937334,44.95508076,SPA1A
1,6,-66.18271861,44.65008151,SPA1A
1,7,-66.10314915,44.48835888,SPA1A
1,8,-66.19938415,44.40008538,SPA1A
1,9,-66.21958465,44.37788563,SPA1A
1,10,-66.29938692,44.29158668,SPA1A
1,11,-66.32108757,44.26218708,SPA1A
1,12,-66.37028926,44.24848707,SPA1A
1,13,-66.39939022,44.23675381,SPA1A
1,14,-66.39939045,44.30008603,SPA1A
1,15,-66.78270611,44.30008489,SPA1A
1,16,-66.83063758,44.30008458,SPA1A
1,17,-66.49939448,44.55008128,SPA1A
1,18,-66.3326913,44.83337825,SPA1A
1,19,-66.16605676,44.8333791,SPA1A
1,20,-65.16603563,45.25007875,SPA1A
1,21,-65.052693,45.29090869,SPA1A
1,22,-65.05030621,45.29196751,SPA1A
