PID,POS,X,Y,AREA
12,1,-65.08754084,45.54798803,UpperBayLine
12,2,-65.08369765,45.52252508,UpperBayLine
12,3,-65.01768849,45.06675226,UpperBayLine
12,4,-65.00758226,44.99922195,UpperBayLine
