OBJECTID,Label,pt_sequence,pt_type,pt_type_fr,source,source_fr,NAFO_SubArea,NAFO_Division,NAFO_SubDivision,NAFO_SubSubDivision,lat_dd,long_dd,lat_ddm,long_ddm,line_id
1062,0-B,37.52,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,60.820904,-58.596893,60° 49.254' N,58° 35.814' W,0-B
1063,0-B,37.53,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,60.832844,-58.623696,60° 49.971' N,58° 37.422' W,0-B
1064,0-B,37.54,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,60.844784,-58.65051,60° 50.687' N,58° 39.031' W,0-B
1065,0-B,37.55,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,60.856723,-58.677334,60° 51.403' N,58° 40.640' W,0-B
1066,0-B,37.56,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,60.868663,-58.704167,60° 52.120' N,58° 42.250' W,0-B
1067,0-B,37.57,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,60.880603,-58.731011,60° 52.836' N,58° 43.861' W,0-B
1068,0-B,37.58,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,60.892543,-58.757864,60° 53.553' N,58° 45.472' W,0-B
1069,0-B,37.59,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,60.904483,-58.784728,60° 54.269' N,58° 47.084' W,0-B
1070,0-B,37.6,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,60.916422,-58.811602,60° 54.985' N,58° 48.696' W,0-B
1071,0-B,37.61,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,60.928362,-58.838486,60° 55.702' N,58° 50.309' W,0-B
1072,0-B,37.62,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,60.940302,-58.86538,60° 56.418' N,58° 51.923' W,0-B
1073,0-B,37.63,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,60.952242,-58.892283,60° 57.135' N,58° 53.537' W,0-B
1074,0-B,37.64,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,60.964181,-58.919197,60° 57.851' N,58° 55.152' W,0-B
1075,0-B,37.65,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,60.976121,-58.946122,60° 58.567' N,58° 56.767' W,0-B
1076,0-B,37.66,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,60.98806,-58.973056,60° 59.284' N,58° 58.383' W,0-B
1077,0-B,38,Corner,Coin,NAFO Convention (2020),Convention de l’OPANO (2020),0,0-B,,,61,-59,61° 0.000' N,59° 0.000' W,0-B
1078,0-B,38.5,Topology,Topologie,NAFO Convention (2020),Convention de l’OPANO (2020),0,0-B,,,61,-64.5,61° 0.000' N,64° 30.000' W,0-B
1079,0-B,39,Corner,Coin,NAFO Convention (2020),Convention de l’OPANO (2020),0,0-B,,,61,-65,61° 0.000' N,65° 0.000' W,0-B
1080,0-B,39.01,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.014551,-65.020861,61° 0.873' N,65° 1.252' W,0-B
1081,0-B,39.02,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.029102,-65.041732,61° 1.746' N,65° 2.504' W,0-B
1082,0-B,39.03,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.043654,-65.062613,61° 2.619' N,65° 3.757' W,0-B
1083,0-B,39.04,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.058205,-65.083503,61° 3.492' N,65° 5.010' W,0-B
1084,0-B,39.05,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.072756,-65.104403,61° 4.365' N,65° 6.264' W,0-B
1085,0-B,39.06,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.087307,-65.125312,61° 5.238' N,65° 7.519' W,0-B
1086,0-B,39.07,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.101858,-65.146231,61° 6.111' N,65° 8.774' W,0-B
1087,0-B,39.08,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.116409,-65.167159,61° 6.985' N,65° 10.030' W,0-B
1088,0-B,39.09,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.13096,-65.188098,61° 7.858' N,65° 11.286' W,0-B
1089,0-B,39.1,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.145511,-65.209045,61° 8.731' N,65° 12.543' W,0-B
1090,0-B,39.11,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.160062,-65.230003,61° 9.604' N,65° 13.800' W,0-B
1091,0-B,39.12,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.174613,-65.25097,61° 10.477' N,65° 15.058' W,0-B
1092,0-B,39.13,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.189164,-65.271946,61° 11.350' N,65° 16.317' W,0-B
1093,0-B,39.14,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.203715,-65.292933,61° 12.223' N,65° 17.576' W,0-B
1094,0-B,39.15,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.218265,-65.313929,61° 13.096' N,65° 18.836' W,0-B
1095,0-B,39.16,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.232816,-65.334935,61° 13.969' N,65° 20.096' W,0-B
1096,0-B,39.17,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.247367,-65.35595,61° 14.842' N,65° 21.357' W,0-B
1097,0-B,39.18,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.261918,-65.376975,61° 15.715' N,65° 22.618' W,0-B
1098,0-B,39.19,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.276468,-65.39801,61° 16.588' N,65° 23.881' W,0-B
1099,0-B,39.2,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.291019,-65.419055,61° 17.461' N,65° 25.143' W,0-B
1100,0-B,39.21,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.305569,-65.440109,61° 18.334' N,65° 26.407' W,0-B
1101,0-B,39.22,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.32012,-65.461173,61° 19.207' N,65° 27.670' W,0-B
1102,0-B,39.23,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.334671,-65.482247,61° 20.080' N,65° 28.935' W,0-B
1103,0-B,39.24,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.349221,-65.503331,61° 20.953' N,65° 30.200' W,0-B
1104,0-B,39.25,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.363772,-65.524424,61° 21.826' N,65° 31.465' W,0-B
1105,0-B,39.26,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.378322,-65.545528,61° 22.699' N,65° 32.732' W,0-B
1106,0-B,39.27,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.392873,-65.566641,61° 23.572' N,65° 33.998' W,0-B
1107,0-B,39.28,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.407423,-65.587764,61° 24.445' N,65° 35.266' W,0-B
1108,0-B,39.29,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.421973,-65.608896,61° 25.318' N,65° 36.534' W,0-B
1109,0-B,39.3,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.436524,-65.630039,61° 26.191' N,65° 37.802' W,0-B
1110,0-B,39.31,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.451074,-65.651191,61° 27.064' N,65° 39.071' W,0-B
1111,0-B,39.32,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.465624,-65.672354,61° 27.937' N,65° 40.341' W,0-B
1112,0-B,39.33,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.480174,-65.693526,61° 28.810' N,65° 41.612' W,0-B
1113,0-B,39.34,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.494725,-65.714708,61° 29.684' N,65° 42.882' W,0-B
1114,0-B,39.35,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.509275,-65.7359,61° 30.557' N,65° 44.154' W,0-B
1115,0-B,39.36,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.523825,-65.757102,61° 31.430' N,65° 45.426' W,0-B
1116,0-B,39.37,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.538375,-65.778313,61° 32.303' N,65° 46.699' W,0-B
1117,0-B,39.38,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.552925,-65.799535,61° 33.176' N,65° 47.972' W,0-B
1118,0-B,39.39,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.567475,-65.820766,61° 34.049' N,65° 49.246' W,0-B
1119,0-B,39.4,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.582025,-65.842008,61° 34.922' N,65° 50.520' W,0-B
1120,0-B,39.41,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.596575,-65.86326,61° 35.795' N,65° 51.796' W,0-B
1121,0-B,39.42,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.611125,-65.884521,61° 36.668' N,65° 53.071' W,0-B
1122,0-B,39.43,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.625675,-65.905792,61° 37.541' N,65° 54.348' W,0-B
1123,0-B,39.44,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.640225,-65.927074,61° 38.414' N,65° 55.624' W,0-B
1124,0-B,39.45,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.654775,-65.948365,61° 39.287' N,65° 56.902' W,0-B
1125,0-B,39.46,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.669325,-65.969667,61° 40.160' N,65° 58.180' W,0-B
1126,0-B,39.47,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.683874,-65.990978,61° 41.032' N,65° 59.459' W,0-B
1127,0-B,39.48,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.698424,-66.0123,61° 41.905' N,66° 0.738' W,0-B
1128,0-B,39.49,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.712974,-66.033631,61° 42.778' N,66° 2.018' W,0-B
1129,0-B,39.5,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.727524,-66.054973,61° 43.651' N,66° 3.298' W,0-B
1130,0-B,39.51,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.742073,-66.076324,61° 44.524' N,66° 4.579' W,0-B
1131,0-B,39.52,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.756623,-66.097686,61° 45.397' N,66° 5.861' W,0-B
1132,0-B,39.53,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.771173,-66.119058,61° 46.270' N,66° 7.143' W,0-B
1133,0-B,39.54,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.785722,-66.14044,61° 47.143' N,66° 8.426' W,0-B
1134,0-B,39.55,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.800272,-66.161832,61° 48.016' N,66° 9.710' W,0-B
1135,0-B,39.56,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.814821,-66.183234,61° 48.889' N,66° 10.994' W,0-B
1136,0-B,39.57,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.829371,-66.204646,61° 49.762' N,66° 12.279' W,0-B
1137,0-B,39.58,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.84392,-66.226069,61° 50.635' N,66° 13.564' W,0-B
1138,0-B,39.59,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.85847,-66.247501,61° 51.508' N,66° 14.850' W,0-B
1139,0-B,39.6,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.873019,-66.268944,61° 52.381' N,66° 16.137' W,0-B
1140,0-B,39.61,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.887568,-66.290397,61° 53.254' N,66° 17.424' W,0-B
1141,0-B,39.62,Rhumb,Loxodromie,Vertex along rhumb line,Sommet le long d'une loxodromie,0,0-B,,,61.902118,-66.31186,61° 54.127' N,66° 18.712' W,0-B
1142,0-B,40,Coast,Côte,NAFO Convention (2020),Convention de l’OPANO (2020),0,0-B,,,61.916667,-66.333333,61° 55.000' N,66° 20.000' W,0-B
1143,0-B,41,Inland,Intérieur des terres,Inland point,Point dérivé à l’intérieur des terres,0,0-B,,,63.5,-70,63° 30.000' N,70° 0.000' W,
1144,0-B,42,Inland,Intérieur des terres,Inland point,Point dérivé à l’intérieur des terres,0,0-B,,,66.87,-70,66° 52.200' N,70° 0.000' W,
1145,0-B,43,Inland,Intérieur des terres,Inland point,Point dérivé à l’intérieur des terres,0,0-B,,,66.87,-67.37,66° 52.200' N,67° 22.200' W,
1146,0-B,44,Inland,Intérieur des terres,Inland point,Point dérivé à l’intérieur des terres,0,0-B,,,66.525,-63,66° 31.500' N,63° 0.000' W,
1147,0-B,45,"Enclose, land","Intégrer, terre",Point derived on land near coastline,Point généré sur des terres près de la côte,0,0-B,,,66.25,-62.635,66° 15.000' N,62° 38.100' W,
1148,1A,1,Coast,Côte,Point derived on land near coastline,Point généré sur des terres près de la côte,1,1A,,,68.833333,-51.21,68° 50.000' N,51° 12.600' W,1A
1149,1A,2,Topology,Topologie,Intersection with geodetic line,Intersection avec une géodésique,1,1A,,,68.833333,-59.743964,68° 50.000' N,59° 44.638' W,1A
1150,1A,2.1,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,68.843103,-59.768919,68° 50.586' N,59° 46.135' W,1A
1151,1A,2.2,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,68.856137,-59.802271,68° 51.368' N,59° 48.136' W,1A
1152,1A,2.3,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,68.869165,-59.835662,68° 52.150' N,59° 50.140' W,1A
1153,1A,2.4,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,68.882186,-59.869092,68° 52.931' N,59° 52.146' W,1A
1154,1A,2.5,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,68.895201,-59.902561,68° 53.712' N,59° 54.154' W,1A
1155,1A,2.6,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,68.90821,-59.93607,68° 54.493' N,59° 56.164' W,1A
1156,1A,2.7,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,68.921211,-59.969618,68° 55.273' N,59° 58.177' W,1A
1157,1A,2.8,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,68.934206,-60.003206,68° 56.052' N,60° 0.192' W,1A
1158,1A,3,Corner,Coin,Canada Denmark Agreement,L'accord entre le Canada et le Danemark,1,1A,,,68.947194,-60.036833,68° 56.832' N,60° 2.210' W,1A
1159,1A,3.1,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,68.960695,-60.059372,68° 57.642' N,60° 3.562' W,1A
1160,1A,3.2,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,68.974192,-60.081939,68° 58.452' N,60° 4.916' W,1A
1161,1A,3.3,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,68.987687,-60.104534,68° 59.261' N,60° 6.272' W,1A
1162,1A,3.4,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.001178,-60.127156,69° 0.071' N,60° 7.629' W,1A
1163,1A,4,Corner,Coin,Canada Denmark Agreement,L'accord entre le Canada et le Danemark,1,1A,,,69.014667,-60.149806,69° 0.880' N,60° 8.988' W,1A
1164,1A,4.1,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.028743,-60.171966,69° 1.725' N,60° 10.318' W,1A
1165,1A,4.2,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.042816,-60.194155,69° 2.569' N,60° 11.649' W,1A
1166,1A,4.3,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.056886,-60.216373,69° 3.413' N,60° 12.982' W,1A
1167,1A,4.4,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.070954,-60.238618,69° 4.257' N,60° 14.317' W,1A
1168,1A,4.5,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.085019,-60.260893,69° 5.101' N,60° 15.654' W,1A
1169,1A,4.6,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.09908,-60.283196,69° 5.945' N,60° 16.992' W,1A
1170,1A,5,Corner,Coin,Canada Denmark Agreement,L'accord entre le Canada et le Danemark,1,1A,,,69.113139,-60.305528,69° 6.788' N,60° 18.332' W,1A
1171,1A,5.1,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.127518,-60.326902,69° 7.651' N,60° 19.614' W,1A
1172,1A,5.2,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.141894,-60.348305,69° 8.514' N,60° 20.898' W,1A
1173,1A,5.3,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.156268,-60.369735,69° 9.376' N,60° 22.184' W,1A
1174,1A,6,Corner,Coin,Canada Denmark Agreement,L'accord entre le Canada et le Danemark,1,1A,,,69.170639,-60.391194,69° 10.238' N,60° 23.472' W,1A
1175,1A,6.1,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.184984,-60.412981,69° 11.099' N,60° 24.779' W,1A
1176,1A,6.2,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.199327,-60.434795,69° 11.960' N,60° 26.088' W,1A
1177,1A,7,Corner,Coin,Canada Denmark Agreement,L'accord entre le Canada et le Danemark,1,1A,,,69.213667,-60.456639,69° 12.820' N,60° 27.398' W,1A
1178,1A,7.01,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.229054,-60.478562,69° 13.743' N,60° 28.714' W,1A
1179,1A,7.02,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.244438,-60.500516,69° 14.666' N,60° 30.031' W,1A
1180,1A,7.03,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.259819,-60.522501,69° 15.589' N,60° 31.350' W,1A
1181,1A,7.04,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.275197,-60.544518,69° 16.512' N,60° 32.671' W,1A
1182,1A,7.05,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.290573,-60.566565,69° 17.434' N,60° 33.994' W,1A
1183,1A,7.06,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.305946,-60.588644,69° 18.357' N,60° 35.319' W,1A
1184,1A,7.07,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.321315,-60.610755,69° 19.279' N,60° 36.645' W,1A
1185,1A,7.08,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.336682,-60.632896,69° 20.201' N,60° 37.974' W,1A
1186,1A,7.09,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.352047,-60.655069,69° 21.123' N,60° 39.304' W,1A
1187,1A,7.1,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.367408,-60.677274,69° 22.044' N,60° 40.636' W,1A
1188,1A,7.11,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.382766,-60.69951,69° 22.966' N,60° 41.971' W,1A
1189,1A,7.12,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.398122,-60.721778,69° 23.887' N,60° 43.307' W,1A
1190,1A,7.13,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.413475,-60.744078,69° 24.809' N,60° 44.645' W,1A
1191,1A,7.14,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.428824,-60.76641,69° 25.729' N,60° 45.985' W,1A
1192,1A,7.15,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.444171,-60.788773,69° 26.650' N,60° 47.326' W,1A
1193,1A,7.16,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.459515,-60.811169,69° 27.571' N,60° 48.670' W,1A
1194,1A,7.17,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.474856,-60.833596,69° 28.491' N,60° 50.016' W,1A
1195,1A,8,Corner,Coin,Canada Denmark Agreement,L'accord entre le Canada et le Danemark,1,1A,,,69.490194,-60.856056,69° 29.412' N,60° 51.363' W,1A
1196,1A,8.01,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.507199,-60.861497,69° 30.432' N,60° 51.690' W,1A
1197,1A,8.02,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.524204,-60.866948,69° 31.452' N,60° 52.017' W,1A
1198,1A,8.03,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.541208,-60.872406,69° 32.472' N,60° 52.344' W,1A
1199,1A,8.04,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.558212,-60.877874,69° 33.493' N,60° 52.672' W,1A
1200,1A,8.05,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.575216,-60.88335,69° 34.513' N,60° 53.001' W,1A
1201,1A,8.06,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.59222,-60.888836,69° 35.533' N,60° 53.330' W,1A
1202,1A,8.07,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.609223,-60.894329,69° 36.553' N,60° 53.660' W,1A
1203,1A,8.08,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.626227,-60.899832,69° 37.574' N,60° 53.990' W,1A
1204,1A,8.09,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.64323,-60.905343,69° 38.594' N,60° 54.321' W,1A
1205,1A,8.1,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.660233,-60.910864,69° 39.614' N,60° 54.652' W,1A
1206,1A,8.11,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.677235,-60.916393,69° 40.634' N,60° 54.984' W,1A
1207,1A,8.12,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.694238,-60.921931,69° 41.654' N,60° 55.316' W,1A
1208,1A,8.13,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.71124,-60.927477,69° 42.674' N,60° 55.649' W,1A
1209,1A,8.14,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.728242,-60.933033,69° 43.695' N,60° 55.982' W,1A
1210,1A,8.15,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.745244,-60.938598,69° 44.715' N,60° 56.316' W,1A
1211,1A,8.16,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.762246,-60.944171,69° 45.735' N,60° 56.650' W,1A
1212,1A,8.17,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.779247,-60.949754,69° 46.755' N,60° 56.985' W,1A
1213,1A,8.18,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.796248,-60.955345,69° 47.775' N,60° 57.321' W,1A
1214,1A,8.19,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.813249,-60.960946,69° 48.795' N,60° 57.657' W,1A
1215,1A,9,Corner,Coin,Canada Denmark Agreement,L'accord entre le Canada et le Danemark,1,1A,,,69.83025,-60.966556,69° 49.815' N,60° 57.993' W,1A
1216,1A,9.1,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.845394,-60.970486,69° 50.724' N,60° 58.229' W,1A
1217,1A,9.2,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.860537,-60.974422,69° 51.632' N,60° 58.465' W,1A
1218,1A,9.3,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.875681,-60.978363,69° 52.541' N,60° 58.702' W,1A
1219,1A,9.4,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,1,1A,,,69.890825,-60.982311,69° 53.450' N,60° 58.939' W,1A
