OBJECTID,Label,pt_sequence,pt_type,pt_type_fr,source,source_fr,NAFO_SubArea,NAFO_Division,NAFO_SubDivision,NAFO_SubSubDivision,lat_dd,long_dd,lat_ddm,long_ddm,line_id
35,0-A,6.09,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.635597,-72.440673,74° 38.136' N,72° 26.440' W,0-A-1
36,0-A,6.1,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.624314,-72.391839,74° 37.459' N,72° 23.510' W,0-A-1
37,0-A,6.11,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.61302,-72.343076,74° 36.781' N,72° 20.585' W,0-A-1
38,0-A,6.12,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.601715,-72.294382,74° 36.103' N,72° 17.663' W,0-A-1
39,0-A,6.13,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.590399,-72.245758,74° 35.424' N,72° 14.745' W,0-A-1
40,0-A,6.14,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.579073,-72.197204,74° 34.744' N,72° 11.832' W,0-A-1
41,0-A,6.15,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.567737,-72.148719,74° 34.064' N,72° 8.923' W,0-A-1
42,0-A,6.16,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.55639,-72.100303,74° 33.383' N,72° 6.018' W,0-A-1
43,0-A,6.17,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.545032,-72.051957,74° 32.702' N,72° 3.117' W,0-A-1
44,0-A,6.18,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.533664,-72.003681,74° 32.020' N,72° 0.221' W,0-A-1
45,0-A,6.19,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.522285,-71.955473,74° 31.337' N,71° 57.328' W,0-A-1
46,0-A,6.2,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.510896,-71.907335,74° 30.654' N,71° 54.440' W,0-A-1
47,0-A,6.21,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.499497,-71.859265,74° 29.970' N,71° 51.556' W,0-A-1
48,0-A,6.22,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.488087,-71.811265,74° 29.285' N,71° 48.676' W,0-A-1
49,0-A,7,Corner,Coin,NAFO Convention (2020),Convention de l’OPANO (2020),0,0-A,,,74.476667,-71.763333,74° 28.600' N,71° 45.800' W,0-A-1
50,0-A,7.1,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.465797,-71.715216,74° 27.948' N,71° 42.913' W,0-A-1
51,0-A,7.2,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.454917,-71.667164,74° 27.295' N,71° 40.030' W,0-A-1
52,0-A,7.3,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.444027,-71.619178,74° 26.642' N,71° 37.151' W,0-A-1
53,0-A,7.4,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.433126,-71.571258,74° 25.988' N,71° 34.275' W,0-A-1
54,0-A,7.5,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.422215,-71.523403,74° 25.333' N,71° 31.404' W,0-A-1
55,0-A,7.6,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.411293,-71.475613,74° 24.678' N,71° 28.537' W,0-A-1
56,0-A,8,Corner,Coin,Canada Denmark Agreement,L'accord entre le Canada et le Danemark,0,0-A,,,74.400361,-71.427889,74° 24.022' N,71° 25.673' W,0-A-1
57,0-A,8.01,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.389711,-71.378616,74° 23.383' N,71° 22.717' W,0-A-1
58,0-A,8.02,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.37905,-71.329408,74° 22.743' N,71° 19.764' W,0-A-1
59,0-A,8.03,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.368378,-71.280266,74° 22.103' N,71° 16.816' W,0-A-1
60,0-A,8.04,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.357696,-71.23119,74° 21.462' N,71° 13.871' W,0-A-1
61,0-A,8.05,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.347002,-71.182178,74° 20.820' N,71° 10.931' W,0-A-1
62,0-A,8.06,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.336297,-71.133232,74° 20.178' N,71° 7.994' W,0-A-1
63,0-A,8.07,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.325582,-71.084352,74° 19.535' N,71° 5.061' W,0-A-1
64,0-A,8.08,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.314855,-71.035536,74° 18.891' N,71° 2.132' W,0-A-1
65,0-A,8.09,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.304118,-70.986785,74° 18.247' N,70° 59.207' W,0-A-1
66,0-A,8.1,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.29337,-70.938099,74° 17.602' N,70° 56.286' W,0-A-1
67,0-A,8.11,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.282611,-70.889479,74° 16.957' N,70° 53.369' W,0-A-1
68,0-A,8.12,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.271842,-70.840923,74° 16.311' N,70° 50.455' W,0-A-1
69,0-A,8.13,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.261062,-70.792431,74° 15.664' N,70° 47.546' W,0-A-1
70,0-A,8.14,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.250271,-70.744005,74° 15.016' N,70° 44.640' W,0-A-1
71,0-A,8.15,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.239469,-70.695643,74° 14.368' N,70° 41.739' W,0-A-1
72,0-A,8.16,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.228657,-70.647346,74° 13.719' N,70° 38.841' W,0-A-1
73,0-A,8.17,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.217834,-70.599113,74° 13.070' N,70° 35.947' W,0-A-1
74,0-A,9,Corner,Coin,Canada Denmark Agreement,L'accord entre le Canada et le Danemark,0,0-A,,,74.207,-70.550944,74° 12.420' N,70° 33.057' W,0-A-1
75,0-A,9.1,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.197074,-70.509459,74° 11.824' N,70° 30.568' W,0-A-1
76,0-A,9.2,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.187141,-70.468024,74° 11.228' N,70° 28.081' W,0-A-1
77,0-A,9.3,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.177199,-70.426639,74° 10.632' N,70° 25.598' W,0-A-1
78,0-A,10,Corner,Coin,Canada Denmark Agreement,L'accord entre le Canada et le Danemark,0,0-A,,,74.16725,-70.385306,74° 10.035' N,70° 23.118' W,0-A-1
79,0-A,10.1,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.156716,-70.339557,74° 9.403' N,70° 20.373' W,0-A-1
80,0-A,10.2,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.146172,-70.293868,74° 8.770' N,70° 17.632' W,0-A-1
81,0-A,10.3,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.135619,-70.248238,74° 8.137' N,70° 14.894' W,0-A-1
82,0-A,11,Corner,Coin,Canada Denmark Agreement,L'accord entre le Canada et le Danemark,0,0-A,,,74.125056,-70.202667,74° 7.503' N,70° 12.160' W,0-A-1
83,0-A,11.1,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.113824,-70.157024,74° 6.829' N,70° 9.421' W,0-A-1
84,0-A,12,Corner,Coin,Canada Denmark Agreement,L'accord entre le Canada et le Danemark,0,0-A,,,74.102583,-70.111444,74° 6.155' N,70° 6.687' W,0-A-1
85,0-A,12.1,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.092539,-70.068934,74° 5.552' N,70° 4.136' W,0-A-1
86,0-A,12.2,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.082487,-70.026477,74° 4.949' N,70° 1.589' W,0-A-1
87,0-A,12.3,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.072426,-69.984071,74° 4.346' N,69° 59.044' W,0-A-1
88,0-A,12.4,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.062357,-69.941717,74° 3.741' N,69° 56.503' W,0-A-1
89,0-A,12.5,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.05228,-69.899416,74° 3.137' N,69° 53.965' W,0-A-1
90,0-A,13,Corner,Coin,Canada Denmark Agreement,L'accord entre le Canada et le Danemark,0,0-A,,,74.042194,-69.857167,74° 2.532' N,69° 51.430' W,0-A-1
91,0-A,14,Corner,Coin,Canada Denmark Agreement,L'accord entre le Canada et le Danemark,0,0-A,,,74.037556,-69.838861,74° 2.253' N,69° 50.332' W,0-A-1
92,0-A,14.1,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.026367,-69.792681,74° 1.582' N,69° 47.561' W,0-A-1
93,0-A,14.2,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.015168,-69.746563,74° 0.910' N,69° 44.794' W,0-A-1
94,0-A,14.3,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.00396,-69.700508,74° 0.238' N,69° 42.030' W,0-A-1
95,0-A,14.4,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.992741,-69.654516,73° 59.564' N,69° 39.271' W,0-A-1
96,0-A,14.5,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.981513,-69.608587,73° 58.891' N,69° 36.515' W,0-A-1
97,0-A,14.6,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.970275,-69.562721,73° 58.217' N,69° 33.763' W,0-A-1
98,0-A,15,Corner,Coin,Canada Denmark Agreement,L'accord entre le Canada et le Danemark,0,0-A,,,73.959028,-69.516917,73° 57.542' N,69° 31.015' W,0-A-1
99,0-A,15.1,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.948074,-69.474777,73° 56.884' N,69° 28.487' W,0-A-1
100,0-A,15.2,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.937112,-69.432693,73° 56.227' N,69° 25.962' W,0-A-1
101,0-A,15.3,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.926141,-69.390665,73° 55.568' N,69° 23.440' W,0-A-1
102,0-A,15.4,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.915163,-69.348693,73° 54.910' N,69° 20.922' W,0-A-1
103,0-A,15.5,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.904176,-69.306777,73° 54.251' N,69° 18.407' W,0-A-1
104,0-A,15.6,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.893181,-69.264916,73° 53.591' N,69° 15.895' W,0-A-1
105,0-A,15.7,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.882178,-69.223111,73° 52.931' N,69° 13.387' W,0-A-1
106,0-A,16,Corner,Coin,Canada Denmark Agreement,L'accord entre le Canada et le Danemark,0,0-A,,,73.871167,-69.181361,73° 52.270' N,69° 10.882' W,0-A-1
107,0-A,16.1,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.859656,-69.14004,73° 51.579' N,69° 8.402' W,0-A-1
108,0-A,16.2,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.848138,-69.098775,73° 50.888' N,69° 5.926' W,0-A-1
109,0-A,16.3,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.836611,-69.057568,73° 50.197' N,69° 3.454' W,0-A-1
110,0-A,16.4,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.825077,-69.016418,73° 49.505' N,69° 0.985' W,0-A-1
111,0-A,16.5,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.813535,-68.975326,73° 48.812' N,68° 58.520' W,0-A-1
112,0-A,16.6,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.801985,-68.93429,73° 48.119' N,68° 56.057' W,0-A-1
113,0-A,16.7,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.790427,-68.893311,73° 47.426' N,68° 53.599' W,0-A-1
114,0-A,17,Corner,Coin,Canada Denmark Agreement,L'accord entre le Canada et le Danemark,0,0-A,,,73.778861,-68.852389,73° 46.732' N,68° 51.143' W,0-A-1
115,0-A,18,Corner,Coin,Canada Denmark Agreement,L'accord entre le Canada et le Danemark,0,0-A,,,73.769583,-68.813528,73° 46.175' N,68° 48.812' W,0-A-1
116,0-A,18.1,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.759121,-68.767745,73° 45.547' N,68° 46.065' W,0-A-1
117,0-A,18.2,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.748648,-68.722019,73° 44.919' N,68° 43.321' W,0-A-1
118,0-A,18.3,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.738166,-68.676351,73° 44.290' N,68° 40.581' W,0-A-1
119,0-A,18.4,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.727674,-68.63074,73° 43.660' N,68° 37.844' W,0-A-1
120,0-A,18.5,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.717172,-68.585186,73° 43.030' N,68° 35.111' W,0-A-1
121,0-A,18.6,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.70666,-68.53969,73° 42.400' N,68° 32.381' W,0-A-1
122,0-A,19,Corner,Coin,Canada Denmark Agreement,L'accord entre le Canada et le Danemark,0,0-A,,,73.696139,-68.49425,73° 41.768' N,68° 29.655' W,0-A-1
123,0-A,19.1,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.685458,-68.445999,73° 41.127' N,68° 26.760' W,0-A-1
124,0-A,19.2,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.674766,-68.39781,73° 40.486' N,68° 23.869' W,0-A-1
125,0-A,19.3,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.664063,-68.349682,73° 39.844' N,68° 20.981' W,0-A-1
126,0-A,19.4,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.653349,-68.301616,73° 39.201' N,68° 18.097' W,0-A-1
127,0-A,19.5,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.642624,-68.253611,73° 38.557' N,68° 15.217' W,0-A-1
128,0-A,20,Corner,Coin,Canada Denmark Agreement,L'accord entre le Canada et le Danemark,0,0-A,,,73.631889,-68.205667,73° 37.913' N,68° 12.340' W,0-A-1
129,0-A,20.1,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.62409,-68.167177,73° 37.445' N,68° 10.031' W,0-A-1
130,0-A,20.2,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,73.616285,-68.128724,73° 36.977' N,68° 7.723' W,0-A-1
